Lightning Strike FOIL,XLN-UC-FOIL-EN-149-NM,0,2.9000,2.9000,2.9000
Lightning Strike FOIL,DMU-C-FOIL-ENG-137-NM,10,0.5000,0.5000,0.5000
Lightning Strike FOIL,DFT-C-FOIL-ENG-0136-NM,1,0.8000,0.8000,0.8000
Lightning Strike FOIL (Promo Pack Promo),PR-DMU-C-FOIL-ENG-433-NM,0,1.3500,1.3500,1.3500
Lightning Talons,M14-144-EN-NM,12,0.2500,0.2500,0.2500
Lightning Talons,BBD-C-EN-180-NM,12,0.2500,0.2500,0.2500
Lightning Talons FOIL,M14-144-ENF-NM,4,0.4000,0.4000,0.4000
Lightning Volley,BOG-101-EN-NM,11,0.5000,0.5000,0.5000
Lightning Volley FOIL,BOG-101-EN-NM-FOIL,5,0.8000,0.8000,0.8000
Lightning Wolf,VOW-C-ENG-168-NM,12,0.2500,0.2500,0.2500
Lightning Wolf FOIL,VOW-C-FOIL-ENG-168-NM,1,0.5000,0.5000,0.5000
Lightning-Rig Crew,XLN-UC-EN-150-NM,12,0.5000,0.5000,0.5000
Lightning-Rig Crew,CMR-UC-ENG-190-NM,4,0.5000,0.5000,0.5000
Living Lightning,2X2-C-ENG-118-NM,12,0.2500,0.2500,0.2500
Living Lightning,CMM-C-ENG-0239-NM,6,0.5000,0.5000,0.5000
Mogg Fanatic FOIL (Premium Deck Series: Fire and Lightning),MISC-C-FOIL-EN-PD2-03-NM,0,0.5000,0.5000,0.5000
Price of Progress FOIL (Premium Deck Series: Fire and Lightning),MISC-UC-FOIL-ENG-PD2-018-NM,0,3.9000,3.9000,3.9000
Radiating Lightning,DOM-C-EN-138-NM,0,0.2500,0.2500,0.2500
Radiating Lightning,M19-C-EN-313-NM,0,0.2500,0.2500,0.2500
Reverberate FOIL (Premium Deck Series: Fire & Lightning),MISC-R-ENG-FOIL-PD2-020-NM,0,6.5000,6.5000,6.5000
Riddle of Lightning,JOU-107-EN-NM,11,0.5000,0.5000,0.5000
Riddle of Lightning,TSR-C-ENG-183-NM,8,0.2500,0.2500,0.2500
Teetering Peaks FOIL (Premium Deck Series: Fire and Lightning),MISC-C-FOIL-ENG-PD2-030-NM,0,0.6000,0.6000,0.6000
Vow of Lightning,CMA-UC-ENG-089-NM,0,0.5000,0.5000,0.5000
Vow of Lightning,E02-UC-EN-030-NM,6,0.6000,0.6000,0.6000
Vow of Lightning,CMR-UC-ENG-209-NM,2,0.5000,0.5000,0.5000
Vow of Lightning,GN3-UC-ENG-088-NM,10,0.5000,0.5000,0.5000
Vow of Lightning,MKC-UC-ENG-0164-NM,11,0.5000,0.5000,0.5000
Weaver of Lightning,EMN-UC-EN-149-NM,11,0.5000,0.5000,0.5000
Weaver of Lightning FOIL,EMN-UC-FOIL-EN-149-NM,1,1.0000,1.0000,1.0000
Wizard's Lightning,DOM-UC-EN-152-NM,6,0.5000,0.5000,0.5000
Wizard's Lightning FOIL,DOM-UC-FOIL-ENG-152-NM,0,2.6000,2.6000,2.6000
[ Japanese ]  稲妻 | Lightning Bolt,M11-149-JPN-NM,0,4.5500,4.5500,4.5500
[Chinese] 闪电击 | Lightning Bolt,MMB-UC-CHI-122-NM,0,4.5500,4.5500,4.5500
[Chinese] 闪电螺旋 | Lightning Helix (Ravnica: City of Guilds),MISC-UC-CHI-RAV-213-NM,3,1.0000,1.0000,1.0000
[Japanese] Lightning Bolt | 稲妻 ,MMB-UC-JPN-122-NM,1,4.5500,4.5500,4.5500
[Japanese] Lightning Greaves,C17-UC-JPN-215-NM,0,7.8000,7.8000,7.8000
[Japanese] Lightning Helix / 稲妻のらせん ,IMA-UC-JPN-204-NM,1,1.0000,1.0000,1.0000
[Japanese] ボール・ライトニング  | Ball Lightning (Fifth Edition),MISC-R-JPN-5ED-210-NM,0,3.9000,3.9000,3.9000
[Japanese] 稲妻 / Lightning Bolt,A25-UC-JPN-141-NM,1,2.7000,2.7000,2.7000
[Japanese] 稲妻 / Lightning Bolt FOIL [Alternate Art],STA-R-FOIL-JPN-105-NM,0,58.5000,58.5000,58.5000
[Japanese] 稲妻のらせん / Lightning Helix (Foil-Etched) [Alternate Art],STA-R-ETCHED-JPN-125-NM,1,12.0000,12.0000,12.0000
[Japanese] 稲妻のらせん |  Lightning Helix,DD-SVC-065-JAP-NM,0,1.9500,1.9500,1.9500
[Japanese] 稲妻のらせん | Lightning Helix [Alternate Art],STA-R-JPN-125-NM,2,16.2000,16.2000,16.2000
[Japanese] 稲妻のらせん| Lightning Helix FOIL [Alternate Art],STA-R-FOIL-JPN-125-NM,0,17.5500,17.5500,17.5500
[Japanese] 稲妻の一撃 | Lightning Strike,TRS-127-JAP-NM,3,0.2500,0.2500,0.2500
[Japanese] 稲妻の天使 | Lightning Angel,DD-SVC-056-JAP-NM,0,0.6000,0.6000,0.6000
[Japanese] 稲妻の斧 / Lightning Axe (TSP),MISC-C-JPN-TSP-168-NM,0,1.9500,1.9500,1.9500
[Japanese] 稲妻の斧 | Lightning Axe,SOI-UC-JPN-170-NM,0,0.5000,0.5000,0.5000
[Japanese] 稲妻の斧 | Lightning Axe FOIL,SOI-UC-FOIL-JPN-170-NM,0,4.9000,4.9000,4.9000
[Japanese] 稲妻の連鎖 | Chain Lightning,EMA-UC-JPN-123-NM,0,2.6000,2.6000,2.6000
[Japanese] 稲妻の連鎖 | Chain Lightning,BBD-UC-JPN-171-NM,0,2.3400,2.3400,2.3400
[Japanese] 稲妻の連鎖 | Chain Lightning FOIL,EMA-UC-FOIL-JPN-123-NM,0,9.9000,9.9000,9.9000
[Japanese] 稲妻｜Lightning Bolt (Foil-Etched) [Alternate Art],STA-R-ETCHED-JPN-105-NM,9,18.9000,18.9000,18.9000
[Japanese] 荒廃稲妻 / Blightning,DD-SVT-69-JP-NM,0,1.0000,1.0000,1.0000
